cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
",09,Veraguas,0907,Río de Jesús,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 2 del 29 de abril de 1994, LEY N° 42 del 30 de abril de 2003"",GA 02404,""GA 23602, GA 22526, GA 24794"",Tierra,115025.086939592831186,316461737.852679133415222"
",09,Veraguas,0908,San Francisco,LEY Nº 1 del 22 de agosto de 1916,""LEY Nº 58 del 29 de julio de 1998, LEY N° 18 del 24 de enero de 2003"",GA 02404,""GA 23602, GA 24731"",Tierra,130651.997037669672864,434278548.310705006122589"
",09,Veraguas,0909,Santa Fe,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 37 del 24 de julio de 2008"",GA 23602,""GA 23602, GA 24731"",Tierra,254386.793148115044460,1921126587.375125408172607"
",09,Veraguas,0910,Santiago,LEY N° 1 del 22 de agosto de 1916,""LEY N° 2 del 21 de octubre de 1981, LEY N° 58 del 29 de julio de 1998, LEY N° 68 del 30 de octubre  de 2017"",GA 02404,""GA 22526, GA 23602, GA 28397-C"",Tierra,333281.319901714741718,974494563.505966544151306"
,09,Veraguas,0911,Soná,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,401005.053107651125174,1521658089.334739685058594
,09,Veraguas,0912,Mariato,LEY Nº 27 del 25 de Junio de 2001,N/A,GA 24333,N/A,Tierra,289451.984854501031805,1386997658.530328035354614
",10,Comarca Kuna Yala,1001,Comarca Kuna Yala,LEY N° 1 del 22 de agosto de 1916,""LEY N° 2 del 16 de septiembre de 1938, LEY Nº 1 del 27 de octubre de 1982, LEY Nº 99 del 23 de diciembre de 1998"",GA 02404,""GA 7873, GA 19960, GA 23701"",Tierra,1227767.757726011099294,2306585158.433828353881836"
,11,Comarca Emberá-Wounaán,1101,Cémaco,LEY N° 22 del 8 de noviembre de 1983,N/A,GA 19976,N/A,Tierra,386694.951741046737880,3058520581.684847831726074
,11,Comarca Emberá-Wounaán,1102,Sambú,LEY N° 22 del 8 de noviembre de 1983,N/A,GA 19976,N/A,Tierra,236276.171600552799646,1313862652.596367835998535
,12,Comarca Ngäbe-Buglé,1201,Besiko,LEY N° 69 del 28 de octubre de 1998,LEY N° 31 del 10 de mayo de 2012,GA 23664,GA 27032-A,Tierra,230523.150437534437515,755605307.202853322029114
,12,Comarca Ngäbe-Buglé,1202,Mironó,LEY N° 69 del 28 de octubre de 1998,N/A,GA 23664,N/A,Tierra,142314.782400927098934,340171746.661209583282471
