cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,cod_corr,nomb_corr,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
",02,Coclé,0203,La Pintada,020303,El Potrero,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 56 del 5 de diciembre de 2002, LEY N° 45 del 25 de abril de 2011"",GA 22526,""GA 23602, GA 24700, GA 26774"",Tierra,43206.837507052703586,74850593.744659230113029"
",02,Coclé,0203,La Pintada,020304,Llano Grande,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 56 del 5 de diciembre de 2002, LEY N° 45 del 25 de abril de 2011"",GA 22526,""GA 23602, GA 24700, GA 26774"",Tierra,45557.357146901071246,88038179.275029361248016"
",02,Coclé,0203,La Pintada,020305,Piedras Gordas,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 56 del 5 de diciembre de 2002, LEY N° 45 del 25 de abril de 2011"",GA 22526,""GA 23602, GA 24700, GA 26774"",Tierra,77876.872245700913481,134966768.052690863609314"
,02,Coclé,0203,La Pintada,020306,Las Lomas,LEY N° 56 del 5 de diciembre de 2002,LEY N° 45 del 25 de abril de 2011,GA 24700,GA 26774,Tierra,52834.833302049446502,86332640.644277527928352
,02,Coclé,0203,La Pintada,020307,Llano Norte,LEY N° 45 del 25 de abril de 2011,N/A,GA 26774,N/A,Tierra,100064.580613893383997,307549326.445160567760468
,02,Coclé,0204,Natá,020403,El Caño,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,57842.239225748729950,87853301.925274819135666
,02,Coclé,0204,Natá,020404,Guzmán,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,48170.140029307221994,73131841.290046125650406
,02,Coclé,0204,Natá,020405,Las Huacas,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,66233.641895591586945,88943660.110653907060623
,02,Coclé,0204,Natá,020406,Toza,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,62551.920481820256100,85955860.423674270510674
,02,Coclé,0204,Natá,020407,Villarreal,LEY N° 60 del 17 de septiembre de 2013,N/A,GA 27377,N/A,Tierra,71865.152647202703520,62737687.005043089389801
,02,Coclé,0205,Olá,020501,Olá ,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,70183.233219917499810,83221124.704548507928848
,02,Coclé,0205,Olá,020502,El Copé,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,42097.481261893182818,74521847.053361430764198
,02,Coclé,0205,Olá,020503,El Palmar,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,66204.025269898731494,104511116.348882377147675
,02,Coclé,0205,Olá,020504,El Picacho,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,32964.654154259020288,30522295.929996043443680
,02,Coclé,0205,Olá,020505,La Pava,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,47123.269269675300166,84461813.482220530509949
,02,Coclé,0206,Penonomé,020601,Penonomé ,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,50711.706565645494265,53356042.796691380441189
,02,Coclé,0206,Penonomé,020602,Cañaveral,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,49345.070378742588218,63437985.484108380973339
,02,Coclé,0206,Penonomé,020603,Coclé,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,75149.436785196172423,115381165.549566492438316
",02,Coclé,0206,Penonomé,020604,Chiguirí Arriba,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 296 del 26 de abril de 2022"",GA 22526,""GA 23602, GA 29524-B"",Tierra,56826.580219586954627,103969224.521037802100182"
,02,Coclé,0206,Penonomé,020605,El Coco,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,87514.626968471478904,148587430.325533360242844
",02,Coclé,0206,Penonomé,020613,General Victoriano Lorenzo,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 296 del 25 de abril de 2022"",GA 22526,""GA 23602, GA 29524-B"",Tierra,64433.896963207407680,79148385.283786490559578"
,02,Coclé,0206,Penonomé,020607,Río Grande,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,LEY N° 58 del 29 de julio de 1998,GA 22526,GA 23602,Tierra,58992.807144164682541,94150203.036900565028191
",02,Coclé,0206,Penonomé,020608,Río Indio,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 296 del 26 de abril de 2022"",GA 22526,""GA 23602, GA 29524-B"",Tierra,111749.097597134154057,214001312.456811577081680"
",02,Coclé,0206,Penonomé,020609,Toabré,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 296 del 26 de abril de 2022"",GA 22526,""GA 23602, GA 29524-B"",Tierra,118380.826597086692345,193649909.843254536390305"
",02,Coclé,0206,Penonomé,020610,Tulú,LEY N° 2 del 21 de octubre de 1981 (derogada) Código Administrativo 1916,""LEY N° 58 del 29 de julio de 1998, LEY N° 296 del 26 de abril de 2022"",GA 22526,""GA 23602, GA29524-B"",Tierra,71174.992651025662781,121925885.421824559569359"
,03,Colón,0301,Colón,030101,Barrio Norte,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,5820.194739314743856,1312073.121771553764120
,03,Colón,0301,Colón,030102,Barrio Sur,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,5664.527114808473016,1659290.483547499636188
,03,Colón,0301,Colón,030103,Buena Vista,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,69049.621512850324507,112952959.265369504690170
,03,Colón,0301,Colón,030104,Cativá,LEY N° 1 del 27 de octubre de 1982,LEY N° 20 del 30 de septiembre de 2014,GA 19981,GA 27634-A,Tierra,57472.783298293135886,22098217.943067468702793
,03,Colón,0301,Colón,030105,Ciricito,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,315051.590761322935577,66353484.828384578227997
,03,Colón,0301,Colón,030108,Limón,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,168266.071057300636312,76387843.338581472635269
,03,Colón,0301,Colón,030109,Nueva Providencia,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,83699.772850224573631,17630943.447255097329617
,03,Colón,0301,Colón,030110,Puerto Pilón,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,75367.001075241918443,99289449.922567039728165
,03,Colón,0301,Colón,030111,Sabanitas,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,52524.692615469852171,11736400.979307183995843
,03,Colón,0301,Colón,030112,Salamanca,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,124633.831839126549312,195335979.293989241123199
,03,Colón,0301,Colón,030113,San Juan,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,68669.975344594829949,41681678.036667384207249
